BIO	TOPO	TYPE
TI000106	NoToponym	TOPO_NO
TI000107	50	DEATH_AH
TI000107	المدينة	TOPO_PR
TI000107	24.46861@39.61417	TOID_PR
TI000108	50	DEATH_AH
TI000108	الكوفة	TOPO_SE
TI000108	32.03472@44.40333	TOID_SE
TI000108	العراق	TOPO_SE
TI000108	32.270413@45.032959	TOID_SE
TI000108	دمشق	TOPO_SE
TI000108	33.511603@36.306633	TOID_SE
TI000108	الطائف	TOPO_SE
TI000108	21.27028@40.41583	TOID_SE
TI000108	البحرين	TOPO_SE
TI000108	26.159383@49.592285	TOID_SE
TI000108	القادسية	TOPO_PR
TI000108	34.072114@43.983078	TOID_PR
TI000108	مصر	TOPO_SE
TI000108	30.08383@31.231384	TOID_SE
TI000108	الاسكندرية	TOPO_SE
TI000108	31.21564@29.95527	TOID_SE
TI000108	البصرة	TOPO_SE
TI000108	30.53302@47.79747	TOID_SE
TI000109	50	DEATH_AH
TI000109	NoToponym	TOPO_NO
TI000110	50	DEATH_AH
TI000110	NoToponym	TOPO_NO
TI000111	50	DEATH_AH
TI000111	NoToponym	TOPO_NO
TI000112	50	DEATH_AH
TI000112	NoToponym	TOPO_NO
TI000113	50	DEATH_AH
TI000113	الشام	TOPO_PR
TI000113	34.672973@37.155762	TOID_PR
TI000114	50	DEATH_AH
TI000114	الكوفة	TOPO_PR
TI000114	32.03472@44.40333	TOID_PR
TI000114	حضرموت	TOPO_SE
TI000114	16.391824@49.350586	TOID_SE
TI000115	50	DEATH_AH
TI000115	حمص	TOPO_PR
TI000115	34.72682@36.72339	TOID_PR
TI000116	50	DEATH_AH
TI000116	العراق	TOPO_SE
TI000116	32.270413@45.032959	TOID_SE
TI000116	قبرس	TOPO_PR
TI000116	35.021899@33.359985	TOID_PR
TI000117	50	DEATH_AH
TI000117	NoToponym	TOPO_NO
TI000118	50	DEATH_AH
TI000118	الحبشة	TOPO_PR
TI000118	13.761262@39.155273	TOID_PR
TI000118	دمشق	TOPO_SE
TI000118	33.511603@36.306633	TOID_SE
TI000118	المدينة	TOPO_SE
TI000118	24.46861@39.61417	TOID_SE
TI000119	50	DEATH_AH
TI000119	NoToponym	TOPO_NO
TI000120	50	DEATH_AH
TI000120	NoToponym	TOPO_NO
TI000121	50	DEATH_AH
TI000121	NoToponym	TOPO_NO
TI000122	50	DEATH_AH
TI000122	NoToponym	TOPO_NO
TI000123	50	DEATH_AH
TI000123	NoToponym	TOPO_NO
TI000124	50	DEATH_AH
TI000124	الهاشمية	TOPO_PR
TI000124	32.37447@44.65709	TOID_PR
TI000124	المدينة	TOPO_SE
TI000124	24.46861@39.61417	TOID_SE
TI000125	50	DEATH_AH
TI000125	الحبشة	TOPO_PR
TI000125	13.761262@39.155273	TOID_PR
TI000125	المدينة	TOPO_SE
TI000125	24.46861@39.61417	TOID_SE
TI000125	دمشق	TOPO_SE
TI000125	33.511603@36.306633	TOID_SE
TI000125	الكوفة	TOPO_SE
